Order Date,Sales,Date,Iso_Anomaly,Z_Score,Z_Anomaly,Is_Anomaly,Type,Possible Reason
2014-12-29/2015-01-04,304.508,2014-12-29,-1,-1.420451506755638,1,True,Drop,Supply shortage / Low demand
2015-02-02/2015-02-08,968.534,2015-02-02,-1,-1.3307600829379036,1,True,Drop,Post-holiday slowdown
2015-02-16/2015-02-22,224.912,2015-02-16,-1,-1.4312027101274885,1,True,Drop,Post-holiday slowdown
2015-03-16/2015-03-22,37703.665,2015-03-16,-1,3.631133281961957,-1,True,Spike,Promotional Event
2015-07-13/2015-07-19,1387.6860000000001,2015-07-13,-1,-1.2741443183804149,1,True,Drop,Supply shortage / Low demand
2015-09-07/2015-09-13,29959.137,2015-09-07,-1,2.585063183627989,-1,True,Spike,Promotional Event
2015-11-16/2015-11-22,26793.6235,2015-11-16,1,2.1574904486307758,-1,True,Spike,Holiday Season / Black Friday
2016-01-18/2016-01-24,358.522,2016-01-18,-1,-1.4131557192923592,1,True,Drop,Post-holiday slowdown
2016-11-07/2016-11-13,27965.349199999997,2016-11-07,1,2.3157579658015357,-1,True,Spike,Holiday Season / Black Friday
2017-10-02/2017-10-08,28412.098,2017-10-02,1,2.376101289648591,-1,True,Spike,Promotional Event
2017-11-20/2017-11-26,27367.716,2017-11-20,1,2.235034360658441,-1,True,Spike,Holiday Season / Black Friday
2017-12-11/2017-12-17,25449.8,2017-12-11,-1,1.975977310478457,1,True,Spike,Holiday Season / Black Friday
2018-03-19/2018-03-25,26029.904,2018-03-19,1,2.0543332087751547,-1,True,Spike,Promotional Event
2018-09-17/2018-09-23,26104.433,2018-09-17,1,2.0644000015298243,-1,True,Spike,Promotional Event
2018-10-29/2018-11-04,29017.467,2018-10-29,-1,2.4578697859802374,-1,True,Spike,Promotional Event
2018-11-12/2018-11-18,30572.447,2018-11-12,-1,2.6679042879547095,-1,True,Spike,Holiday Season / Black Friday
2018-11-26/2018-12-02,35998.9,2018-11-26,-1,3.4008669970203433,-1,True,Spike,Holiday Season / Black Friday
